Area,Sub Area,"Location
(building; room; etc)",Booth/Bezel,Roles that can staff area?,Booth Description - What's being demonstrated here?  Employees use these descriptions to asses if they should volunteer to staff it
a0m30000003R5Gc,Marketing Cloud,Moscone North,Audience Segmentation ,Sales Engineer,STAFFING REQUIREMENT: Marketing Cloud SE or product expert only. Active Audiences demo showing how to create audiences on social and targeting them with relevant digital ads 
a0m30000003R5Gc,Marketing Cloud,Moscone North,Create 1-to-1 Customer Journeys,Sales Engineer,"STAFFING REQUIREMENT: Marketing Cloud SE or product expert only. Marketing Cloud SE or product expert only. Journey Builder demo station highlighting current functionality of Journey Builder, Journey Maps and Interaction Canvas. "
a0m30000003R5Gc,Marketing Cloud,Moscone North,Create 1-to-1 Customer Journeys,Sales Engineer,"STAFFING REQUIREMENT: Marketing Cloud SE or product expert only. Marketing Cloud SE or product expert only. Journey Builder demo station highlighting current functionality of Journey Builder, Journey Maps and Interaction Canvas. "
a0m30000003R5Gc,Community Cloud,Moscone North,Community Templates & Builder,Sales Engineer,SE will show customers how they can customize and brand our community templates without using any code. SE should have good understanding of Lightning Components as well as good general understanding of Communities.
a0m30000003R5Gc,Community Cloud,Moscone North,Community Templates & Builder,Sales Engineer,SE will show customers how they can customize and brand our community templates without using any code. SE should have good understanding of Lightning Components as well as good general understanding of Communities.
a0m30000003R5Gc,Community Cloud,Moscone North,Employee Community & Chatter,Sales Engineer,"HR Blackbelt preferred, but should also have good understanding of general Community and Chatter features."
a0m30000003R5Gc,Community Cloud,Moscone North,Salesforce Files & Files Connect,Sales Engineer,"SE will show customers Salesforce Files and Content, including Files Sync and Files Connect. SE should have a good understanding of Microsoft SharePoint."
a0m30000003R5Gc,Community Cloud,Moscone North,Customer Community,Sales Engineer,SE will show customers how companies can use Customer Communities to drive customer engagement and Self-Service. SE should have good understanding of general communities features as well as Service Cloud Console.
a0m30000003R5Gc,Community Cloud,Moscone North,Customer Community,Sales Engineer,SE will show customers how companies can use Customer Communities to drive customer engagement and Self-Service. SE should have good understanding of general communities features as well as Service Cloud Console.
a0m30000003R5Gc,Community Cloud,Moscone North,Partner Community,Sales Engineer,SE will show customers how companies can use Partner Communities to enable partners through the entire partner lifecycle. SE should have good understanding of traditional PRM as well us alternative uses for Partner Communities.
a0m30000003R5Gc,Community Cloud,Moscone North,Partner Community,Sales Engineer,SE will show customers how companies can use Partner Communities to enable partners through the entire partner lifecycle. SE should have good understanding of traditional PRM as well us alternative uses for Partner Communities.
a0m30000003R5Gc,Community Cloud,Moscone North,Theater,Sales Engineer,
a0m30000003R5Gc,Analytics Cloud,Moscone North,Improve Customer Experiences,Sales Engineer,"Analytics Cloud Black Belt Training required.  This booth is for Wave SEs, Wave Black Belt-certified  SEs.
Walk attendees through our service use cases on computer and mobile phone. Answer questions, be familiar with all value props. Demonstrate fluency in Analytics Cloud differentiation.  "
a0m30000003R5Gc,Analytics Cloud,Moscone North,Know Customers Better,Sales Engineer,"Analytics Cloud Black Belt Training required. This booth is for Wave SEs, Wave Black Belt-certified  SEs
Walk attendees through our service use cases on computer and mobile phone. Answer questions, be familiar with all value props. Demonstrate fluency in Analytics Cloud differentiation.  "
a0m30000003R5Gc,Analytics Cloud,Moscone North,Anticipate Trends with Interactive Charts,Sales Engineer,"Analytics Cloud or Sales Cloud Black Belt Training required.  This booth is for ave SEs, Wave Black Belt-certified  SEs, Sales Cloud Black Belt-certified  SEs
Walk attendees through our sales use cases on computer and mobile phone. Answer questions, be familiar with all value props. Answer basic messaging FAQs, and demonstrate fluency in Analytics Cloud differentiation.  "
a0m30000003R5Gc,Analytics Cloud,Moscone North,Coach the Best Sales Team,Sales Engineer,"Analytics Cloud or Sales Cloud Black Belt Training required.  This booth is for ave SEs, Wave Black Belt-certified  SEs, Sales Cloud Black Belt-certified  SEs
Walk attendees through our sales use cases on computer and mobile phone. Answer questions, be familiar with all value props. Answer basic messaging FAQs, and demonstrate fluency in Analytics Cloud differentiation.  "
a0m30000003R5Gc,Analytics Cloud,Moscone North,Explore Any Data,Sales Engineer,"Analytics Cloud Black Belt Training required.  This booth is for Wave SEs, Wave Black Belt-certified  SEs
Walk attendees through our Wave platform on computer and mobile phone. Answer questions, be very familiar with all value props and with the Analytics space in general."
a0m30000003R5Gc,Analytics Cloud,Moscone North,Hit Your Target with Dynamic Dashboards,Sales Engineer,"Analytics Cloud or Sales Cloud Black Belt Training required. This booth is for ave SEs, Wave Black Belt-certified  SEs, Sales Cloud Black Belt-certified  SEs
Walk attendees through our sales use cases on computer and mobile phone. Answer questions, be familiar with all value props. Answer basic messaging FAQs, and demonstrate fluency in Analytics Cloud differentiation.  "
a0m30000003R5Gc,App Cloud,Moscone North,Encryption,Sales Engineer,"You must be a Sales Engineer/Platform SE 
Easy 2 minute product overview demonstration of Platform Encryption by quickly encrypting any field in Salesforce. "
a0m30000003R5Gc,App Cloud,Moscone North,Security & Compliance ,Sales Engineer,"You must be a Sales Engineer - Platform SE to staff this booth
Demo Event Monitoring and Field Audit Trail with the use of prebuilt wave dashboards, no admin or coding required"
a0m30000003R5Gc,App Cloud,Moscone North,Lightning Connect,Sales Engineer,"You must be a Sales Engineer - Platform SE to staff this booth
This is a more technical demo, must be comfortable speaking about integration methodologies and setting up an OData end-point with Jitterbit"
